policy,comparator,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
state_rule_vol20_exact,allocation_vol20_exact,base,2018_2019,0.033872017820068212,0.10636133331415887,0.11692368463247693,-0.031324032203531443
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2018_2019,0.015366516989003487,0.064569237391654155,0.052235377216236167,-0.0095836481747837432
state_rule_vol20_exact,trend_vol20_exact,base,2020_2021,0.0064591894018966034,0.01211804618185619,-0.0062203610217195227,0.00081901589220378934
state_rule_vol20_exact,allocation_vol20_exact,base,2020_2021,-0.02644661236110224,-0.061587469369735803,1.1102230246251565e-16,-0.0015720322113220442
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2020_2021,-0.010885390202639567,-0.02934668994146028,-0.0031469834286392828,-0.00016724003718468494
state_rule_vol20_exact,trend_vol20_exact,base,2022_2024,0.014991318089511374,0.068039430255056432,0.0028032763035010788,0.0012377939413627526
state_rule_vol20_exact,allocation_vol20_exact,base,2022_2024,0.010096594596378239,0.13843251254213029,0.12339902203263209,-0.034574908267091087
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2022_2024,0.010336199572475335,0.081074121354445916,0.056330479562414659,-0.010577763412057878
state_rule_vol20_exact,trend_vol20_exact,base,2020_2024_carry,0.012307611714187816,0.041737397554158173,0.00039231008159890113,0.0010312943757345705
state_rule_vol20_exact,allocation_vol20_exact,base,2020_2024_carry,-0.0018893288543335718,0.097140144345443824,0.11355330701090982,-0.020262494750468929
state_rule_vol20_exact,fixed_blend_vol20_exact,base,2020_2024_carry,0.0034003114105540799,0.045270619993788674,0.052011372265973077,-0.0059136065075185706
fixed_blend_vol20_band2,trend_vol20_band2,base,full,0.00015790773626389587,-0.026608664690630501,-0.050685329993054085,0.0075510147394416416
fixed_blend_vol20_band2,allocation_vol20_band2,base,full,0.0041834057816014791,0.065261142403367889,0.061477891055230827,-0.015353729623416967
fixed_blend_vol20_band2,state_rule_vol20_band2,base,full,-0.0079853845239759025,-0.060113854559394442,-0.053213574554017984,0.0069557032893554915
fixed_blend_vol20_band2,trend_vol20_band2,base,2018_2019,-0.017283855007349636,-0.079263461297562732,-0.050685329993054085,0.0093275808243076797
fixed_blend_vol20_band2,allocation_vol20_band2,base,2018_2019,0.016367321713213756,0.036480833184731165,0.061477891055230827,-0.02107167550406655
