year,asset,model,rows,dates,mse,mae,correlation
2021,GLD,zero,52,52,0.00023899445079100253,0.011828466645284473,
2021,GLD,past_mean,52,52,0.00024117612899362043,0.011632103003705607,
2022,pooled,ridge1,156,52,0.0010087784730323061,0.024398908023550565,0.05227853441702523
2022,pooled,ridge100,156,52,0.0010075961192618048,0.024390726450246165,0.05527332420371017
2022,pooled,gbm2,156,52,0.0010669384687663987,0.024925707548133558,0.027545184284684842
2022,pooled,gbm3,156,52,0.001089970242525849,0.02514834046938468,-0.010374705332381608
2022,pooled,mlp16,156,52,0.0009880252636816718,0.0240205942871058,0.11178024167327137
2022,pooled,mlp32,156,52,0.0011182135822961653,0.02455972799001288,0.1966152300096876
2022,pooled,sequence16,156,52,0.0012448717449917936,0.026479290031542195,-0.08781015883336041
2022,pooled,sequence32,156,52,0.0013901033403794537,0.02786747498397905,0.02109263798650246
2022,pooled,selected,156,52,0.0010075961192618048,0.024390726450246165,0.05527332420371017
2022,pooled,zero,156,52,0.00088990855676739,0.02285192926480807,
2022,pooled,past_mean,156,52,0.0009251918912751741,0.023345173597106274,-0.09743052737395377
2022,SPY,ridge1,52,52,0.000935730540853678,0.024492344570123354,0.2320173281432097
2022,SPY,ridge100,52,52,0.0009338665006843333,0.02446337154151807,0.24743229774082065
2022,SPY,gbm2,52,52,0.0009324087564408628,0.024022758579426266,0.2527130529404786
2022,SPY,gbm3,52,52,0.0009744793687313528,0.024450159654436306,0.16896447924915278
2022,SPY,mlp16,52,52,0.0009167698145618121,0.02410717984494753,0.12801489084196033
2022,SPY,mlp32,52,52,0.0008773744126935298,0.021649585430530395,0.3695023668554
2022,SPY,sequence16,52,52,0.001224715186376887,0.027411966823518878,-0.22657286570893892
2022,SPY,sequence32,52,52,0.0013000562290460644,0.0281878463067726,0.1021657052146016
2022,SPY,selected,52,52,0.0009338665006843333,0.02446337154151807,0.24743229774082065
2022,SPY,zero,52,52,0.0008462213289137708,0.023130123147462565,
2022,SPY,past_mean,52,52,0.0008757665353974017,0.02356835728382403,1.732485570448559e-17
2022,QQQ,ridge1,52,52,0.0017181120689341472,0.03394257801153521,0.3016859014332839
2022,QQQ,ridge100,52,52,0.001715315359560411,0.033902134729041716,0.3125041644989525
2022,QQQ,gbm2,52,52,0.001878557915054375,0.03535357764976985,0.06182285144115546
2022,QQQ,gbm3,52,52,0.0019026712342781913,0.03561733239712558,-0.0007874902497473384
2022,QQQ,mlp16,52,52,0.0017137918300338371,0.03369440207039158,0.39085963727790385
2022,QQQ,mlp32,52,52,0.0021522666425312404,0.03696386617216679,0.21965562443879202
2022,QQQ,sequence16,52,52,0.0020977339573435487,0.03596249872996455,-0.020787940629772707
2022,QQQ,sequence32,52,52,0.0024838673358303525,0.03964045311402255,-0.0165629569538187
2022,QQQ,selected,52,52,0.001715315359560411,0.033902134729041716,0.3125041644989525
2022,QQQ,zero,52,52,0.001449259420363991,0.03067594708093788,
