period,asset,model,rows,decision_dates,event_fraction,brier,brier_skill,log_loss
exclude_2022,SPY,gbm,309,309,0.13915857605177995,0.133092068900258,-0.059452027678231545,0.4763443984138763
exclude_2022,SPY,past_frequency,309,309,0.13915857605177995,0.12562349726388902,0.0,0.4337772680228784
exclude_2022,QQQ,logistic,309,309,0.2168284789644013,0.19092784013227146,-0.07454675911432851,0.5910631331847948
exclude_2022,QQQ,gbm,309,309,0.2168284789644013,0.18065342503324755,-0.01672208860633484,0.5616694027898479
exclude_2022,QQQ,past_frequency,309,309,0.2168284789644013,0.17768220741705046,0.0,0.5495821600477014
exclude_2022,GLD,logistic,309,309,0.08737864077669903,0.08856623284022339,-0.04403343516780711,0.3269743939535045
exclude_2022,GLD,gbm,309,309,0.08737864077669903,0.08638250372708632,-0.018291274365084043,0.3204488444915607
exclude_2022,GLD,past_frequency,309,309,0.08737864077669903,0.08483083956596484,0.0,0.3188014808751785
exclude_2023,pooled,logistic,927,309,0.20280474649406688,0.17331728895586598,-0.05099864929473763,0.554856000876741
exclude_2023,pooled,gbm,927,309,0.20280474649406688,0.1637099952110967,0.007260124598855389,0.5231425054392767
exclude_2023,pooled,past_frequency,927,309,0.20280474649406688,0.1649072423377222,0.0,0.5203138459508627
exclude_2023,SPY,logistic,309,309,0.19741100323624594,0.17916884511203526,-0.062238660383629796,0.6010226194627096
exclude_2023,SPY,gbm,309,309,0.19741100323624594,0.16786607252640626,0.004772108159705968,0.5593010136832283
exclude_2023,SPY,past_frequency,309,309,0.19741100323624594,0.16867098872802092,0.0,0.5447482803855945
exclude_2023,QQQ,logistic,309,309,0.3106796116504854,0.2424227416864538,-0.045655138713023735,0.7113407089780692
exclude_2023,QQQ,gbm,309,309,0.3106796116504854,0.22759662791205543,0.01829514065224702,0.6680063709679653
exclude_2023,QQQ,past_frequency,309,309,0.3106796116504854,0.23183813927871474,0.0,0.6736311508418065
exclude_2023,GLD,logistic,309,309,0.10032362459546926,0.0983602800691089,-0.04402469634018824,0.35220467418944423
exclude_2023,GLD,gbm,309,309,0.10032362459546926,0.09566728519482827,-0.015440463417192518,0.3421201316666363
exclude_2023,GLD,past_frequency,309,309,0.10032362459546926,0.09421259900643085,0.0,0.3425621066251875
exclude_2024,pooled,logistic,939,313,0.19382321618743345,0.16993859013891477,-0.060257400008823625,0.5476070841294224
exclude_2024,pooled,gbm,939,313,0.19382321618743345,0.1615462997461969,-0.007897379929638015,0.5206235919344275
exclude_2024,pooled,past_frequency,939,313,0.19382321618743345,0.1602805037130611,0.0,0.5099952284808889
exclude_2024,SPY,logistic,313,313,0.19169329073482427,0.17530045250371318,-0.06343984486539078,0.5910462861735734
exclude_2024,SPY,gbm,313,313,0.19169329073482427,0.16716543891296143,-0.014089729293135456,0.5594116177076547
exclude_2024,SPY,past_frequency,313,313,0.19169329073482427,0.16484284781138941,0.0,0.5353508503933617
exclude_2024,QQQ,logistic,313,313,0.28753993610223644,0.23455782831391106,-0.06453131100234732,0.6952629108633717
exclude_2024,QQQ,gbm,313,313,0.28753993610223644,0.21868433520051894,0.007509901843345879,0.6483691210375282
exclude_2024,QQQ,past_frequency,313,313,0.28753993610223644,0.22033905991271857,0.0,0.6483022777195958
exclude_2024,GLD,logistic,313,313,0.10223642172523961,0.09995748959912006,-0.04492895674463471,0.3565120553513222
exclude_2024,GLD,gbm,313,313,0.10223642172523961,0.0987891251251103,-0.032715185912446376,0.35409003705809955
exclude_2024,GLD,past_frequency,313,313,0.10223642172523961,0.09565960341507522,0.0,0.34633255732970925
